MOF,. time (s)
HANKEO_clean_argon_273.0K_5.0bar_14.,5199.7
IMUKUW_clean_argon_273.0K_5.0bar_14.,7467.5
BODPAN_clean_argon_273.0K_5.0bar_14.,7820.3
YOZBAS_clean_argon_273.0K_5.0bar_14.,9481.6
QOYYOU_clean_argon_273.0K_5.0bar_14.,9421.1
c6ce00407e_c6ce00407e6_clean_argon_273.0K_5.0bar_14.,9563.7
JONKEE_clean_argon_273.0K_5.0bar_14.,9836.1
LAFRAN01_clean_argon_273.0K_5.0bar_14.,31911.3
RIVDIL_clean_argon_273.0K_5.0bar_14.,31580.8
RIVDEH_clean_argon_273.0K_5.0bar_14.,31478.9
