WOPROK_clean_argon_273.0K,365.0,186.0,330.7,,,494.5
XALBOC_clean_argon_273.0K,1015.0,455.4,591.7,748.8,789.9,882.0
XICYUF_clean_argon_273.0K,7190.0,,,,,6490.7
XISKUF_clean_argon_273.0K,184.7,243.8,278.7,,850.1,1083.3
XOBXIW_clean_argon_273.0K,199.3,89.2,144.9,192.0,,262.8
XOPVOO_clean_argon_273.0K,451.5,,,,,7837.8
XUVGUQ01_ion_b_argon_273.0K,292.8,181.9,304.4,,338.8,389.6
XUZFUU_clean_argon_273.0K,141.3,73.6,115.9,145.8,169.3,203.7
YEYVOO_manual_argon_273.0K,4105.2,,,,,3439.4
YIPDOR_clean_argon_273.0K,100.3,41.8,50.2,65.0,,145.5
YIWLUL_clean_argon_273.0K,96.0,40.2,50.4,67.3,110.8,140.2
YIWNOH_clean_argon_273.0K,109.1,38.4,52.7,69.1,120.0,137.9
YOZBAS_clean_argon_273.0K,9481.6,,,,,7543.3
YUBHAG_clean_argon_273.0K,159.1,77.8,131.5,167.9,193.1,213.0
ZACHET_clean_argon_273.0K,2978.9,,,,,5722.1
ZASTUK_clean_argon_273.0K,237.6,128.4,222.0,268.4,288.9,332.3
ZAZNUL_clean_argon_273.0K,6658.3,,,,26310.8,40508.1
ZIWMEZ_clean_argon_273.0K,248.0,126.6,215.2,272.5,302.6,342.1
ZUCKIT_clean_argon_273.0K,6539.1,,,,,5174.9
c5ce00010f_c5ce00010f2_clean_argon_273.0K,795.4,364.2,590.1,697.5,817.2,896.5
c6ce00407e_c6ce00407e5_clean_argon_273.0K,5515.4,,,,,7233.1
c6ce00407e_c6ce00407e6_clean_argon_273.0K,9563.7,,,,,8031.3
cg500175k_si_001_auto_argon_273.0K,357.5,113.9,159.1,176.9,285.2,269.8
cm503311x_alf450K_clean_argon_273.0K,132.7,73.1,114.8,145.5,168.2,204.3
ic5030058_si_002_clean_argon_273.0K,671.7,,,,10561.1,12827.9
jz4002345_si_004_clean_argon_273.0K,224.9,107.3,184.9,237.7,275.5,299.9
