name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
PUBSOV_clean,argon,293.0,5.0,14.0,PUBSOV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.62052e-05,chunk_1
OVADAR_clean,argon,293.0,5.0,14.0,OVADAR_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.15036e-05,chunk_1
ja0660047si20060818_060458_clean,argon,293.0,5.0,14.0,ja0660047si20060818_060458_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.13917e-05,chunk_1
POBJIB_clean,argon,293.0,5.0,14.0,POBJIB_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.56234e-05,chunk_1
ADUROI_clean,argon,293.0,5.0,14.0,ADUROI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.43018e-06,chunk_1
WAVRIW_clean,argon,293.0,5.0,14.0,WAVRIW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.06198e-05,chunk_1
HOGJET_clean,argon,293.0,5.0,14.0,HOGJET_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.56522e-06,chunk_1
ABETIN_clean,argon,293.0,5.0,14.0,ABETIN_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.42555e-06,chunk_1
cg5010616_si_003_clean,argon,293.0,5.0,14.0,cg5010616_si_003_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.86539e-06,chunk_1
AWOFOI_clean,argon,293.0,5.0,14.0,AWOFOI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.46062e-06,chunk_1
EPECOT_clean,argon,293.0,5.0,14.0,EPECOT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.61874e-06,chunk_1
APAZOI_clean,argon,293.0,5.0,14.0,APAZOI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.43411e-06,chunk_1
ZEBMEA_clean,argon,293.0,5.0,14.0,ZEBMEA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.78464e-06,chunk_1
cg8013317_si_003_clean,argon,293.0,5.0,14.0,cg8013317_si_003_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.67828e-06,chunk_1
BAZGAM_clean,argon,293.0,5.0,14.0,BAZGAM_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.20151e-06,chunk_1
ATAYAX_clean,argon,293.0,5.0,14.0,ATAYAX_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.04098e-06,chunk_1
FOCZEE_clean,argon,293.0,5.0,14.0,FOCZEE_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.46025e-06,chunk_1
ICIVEW_clean,argon,293.0,5.0,14.0,ICIVEW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.97324e-06,chunk_1
ASOVEL_clean,argon,293.0,5.0,14.0,ASOVEL_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.46793e-06,chunk_1
FUTZIF_clean,argon,293.0,5.0,14.0,FUTZIF_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.01137e-06,chunk_1
BIYTOU_clean,argon,293.0,5.0,14.0,BIYTOU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.53117e-06,chunk_1
XISDUA_clean,argon,293.0,5.0,14.0,XISDUA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.02979e-06,chunk_1
UYAMIS_clean,argon,293.0,5.0,14.0,UYAMIS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.02714e-06,chunk_1
XUDVAV_clean,argon,293.0,5.0,14.0,XUDVAV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,9.91022e-06,chunk_1
APEBEE_clean,argon,293.0,5.0,14.0,APEBEE_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.8324e-06,chunk_1
ASUKEE01_clean,argon,293.0,5.0,14.0,ASUKEE01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.01022e-06,chunk_1
FALRIV01_clean,argon,293.0,5.0,14.0,FALRIV01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.81653e-06,chunk_1
