name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
BEXVIL_clean,argon,293.0,0.1,14.0,BEXVIL_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.031227509100000002,0.07633125,1.2474765322,0.6999326309,0.6195719022,chunk_1
BINMIW_clean,argon,293.0,0.1,14.0,BINMIW_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.10883833400000001,0.64725,4.3478737673,2.4394997791,2.5949248813,chunk_1
BEXVAD01_clean,argon,293.0,0.1,14.0,BEXVAD01_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0745457802,0.1556958333,2.9779548282999997,1.67086731,2.2879316503,chunk_1
BIJFAD_clean,argon,293.0,0.1,14.0,BIJFAD_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.033673092599999996,0.183175,1.3451727043000001,0.7547478815,0.6460596306,chunk_1
BIPBAF_clean,argon,293.0,0.1,14.0,BIPBAF_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0386159642,0.2279875,1.5426305359999999,0.8655372840000001,0.6766689676000001,chunk_1
BIWSOQ_clean,argon,293.0,0.1,14.0,BIWSOQ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.08685998789999999,1.2024,3.469882795,1.9468776613,1.927943224,chunk_1
BIHBEB_clean,argon,293.0,0.1,14.0,BIHBEB_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1193471557,0.33075,4.7676801768,2.6750442539,1.9374553468,chunk_1
BOHWOM_clean,argon,293.0,0.1,14.0,BOHWOM_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.040648410499999996,0.36295,1.6238227038,0.9110924878,1.1158903027,chunk_1
BIRGIU_clean,argon,293.0,0.1,14.0,BIRGIU_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0221929994,0.093825,0.8865659390999999,0.4974333498,0.6811259269,chunk_1
BUCSAU_clean,argon,293.0,0.1,14.0,BUCSAU_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.10860712980000001,0.3221791667,4.338637621499999,2.4343175735,3.6707522242,chunk_1
BUVVIZ_clean,argon,293.0,0.1,14.0,BUVVIZ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0128904376,0.14015,0.5149471999,0.288925955,0.4996679003,chunk_1
c4dt02048k_c4dt02048k2_clean,argon,293.0,0.1,14.0,c4dt02048k_c4dt02048k2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.018286033700000003,0.0715888889,0.7304904740000001,0.4098627157,0.5886784536,chunk_1
c5cc09935h_c5cc09935h2_clean,argon,293.0,0.1,14.0,c5cc09935h_c5cc09935h2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0286208358,0.14936875,1.1433451504,0.6415067205,0.860087954,chunk_1
BOWSOW_clean,argon,293.0,0.1,14.0,BOWSOW_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0925960051,0.0892133333,3.6990252136,2.0754446137,3.3827669624000003,chunk_1
BORBEQ_clean,argon,293.0,0.1,14.0,BORBEQ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.046667995999999996,0.1223,1.8642931056,1.0460153313,1.1533587288,chunk_1
BOSHIC_clean,argon,293.0,0.1,14.0,BOSHIC_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1327064588,0.9312375,5.3013576163,2.9744793492,2.9696020918,chunk_1
BUCSIC01_clean,argon,293.0,0.1,14.0,BUCSIC01_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1420363771,0.4213458333,5.674069192899999,3.1835999119,4.7949790142,chunk_1
BUPDOH_clean,argon,293.0,0.1,14.0,BUPDOH_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1115229709,0.7202125,4.45511964,2.4996731642,2.3266587973,chunk_1
BUXTUL_clean,argon,293.0,0.1,14.0,BUXTUL_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0326855307,0.183075,1.3057215823000001,0.7326126934999999,0.909278507,chunk_1
BUVVOF_clean,argon,293.0,0.1,14.0,BUVVOF_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0095696976,0.1180125,0.3822902778,0.2144949688,0.42470447340000006,chunk_1
c5ce00931f_c5ce00931f2_clean,argon,293.0,0.1,14.0,c5ce00931f_c5ce00931f2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.052077619900000004,0.1286916667,2.0803967593,1.1672665092,2.1148988366999997,chunk_1
c5dt05023e_c5dt05023e2_clean,argon,293.0,0.1,14.0,c5dt05023e_c5dt05023e2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0818830307,0.2768277778,3.2710633113,1.8353242647,1.9410864569,chunk_1
c5ce01790d_c5ce01790d1_clean,argon,293.0,0.1,14.0,c5ce01790d_c5ce01790d1_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0340236791,0.2222125,1.3591779307,0.7626059170999999,1.5952899631,chunk_1
c5qi00128e_c5qi00128e2_clean,argon,293.0,0.1,14.0,c5qi00128e_c5qi00128e2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1103963353,0.2297861111,4.4101128029000005,2.4744207822999997,2.4577468416999997,chunk_1
c5dt01100k_c5dt01100k2_clean,argon,293.0,0.1,14.0,c5dt01100k_c5dt01100k2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0108155278,0.047,0.43205870539999996,0.24241897829999998,0.39961109130000005,chunk_1
c5ce02503f_c5ce02503f2_clean,argon,293.0,0.1,14.0,c5ce02503f_c5ce02503f2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,1.1642343389,11.65208125,46.5088333721,26.095120237600003,46.5569654716,chunk_1
c5dt04943a_c5dt04943a2_clean,argon,293.0,0.1,14.0,c5dt04943a_c5dt04943a2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0513487949,0.27055,2.0512816606,1.1509306445999998,0.8737882659999999,chunk_1
c5dt02651b_c5dt02651b2_clean,argon,293.0,0.1,14.0,c5dt02651b_c5dt02651b2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0093375085,0.022019999999999998,0.3730147877,0.209290688,0.3416908813,chunk_1
c5dt03038b_c5dt03038b2_clean,argon,293.0,0.1,14.0,c5dt03038b_c5dt03038b2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0654672046,0.1164722222,2.6152838886,1.4673803357,2.1984243503,chunk_1
c5nj02236c_c5nj02236c2_clean,argon,293.0,0.1,14.0,c5nj02236c_c5nj02236c2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0872885674,0.2713833333,3.4870036891000002,1.956483832,2.5859198579,chunk_1
c5ta03835a_c5ta03835a2_clean,argon,293.0,0.1,14.0,c5ta03835a_c5ta03835a2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0347221896,0.126325,1.3870820294,0.7782623152,0.5216942699,chunk_1
c5nj03044g_c5nj03044g2_clean,argon,293.0,0.1,14.0,c5nj03044g_c5nj03044g2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0811595957,0.3225875,3.242163531,1.8191092108000002,2.1730317261,chunk_1
c6cc00589f_c6cc00589f2_clean,argon,293.0,0.1,14.0,c6cc00589f_c6cc00589f2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0247439064,0.07055,0.9884695722,0.5546093176,0.5235970556,chunk_1
c6cc03787a_c6cc03787a2_clean,argon,293.0,0.1,14.0,c6cc03787a_c6cc03787a2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0404028742,0.4508,1.61401402,0.9055890433,0.6224816584,chunk_1
c5sc00614g_c5sc00614g2_clean,argon,293.0,0.1,14.0,c5sc00614g_c5sc00614g2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.187133601,1.0019375,7.475613093200001,4.1944079946,5.1838581908,chunk_1
c6ta07145g_c6ta07145g2_clean,argon,293.0,0.1,14.0,c6ta07145g_c6ta07145g2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0425727827,0.4198375,1.7006975234000001,0.9542253190000001,1.2076004402,chunk_1
c5ta05481h_c5ta05481h2_clean,argon,293.0,0.1,14.0,c5ta05481h_c5ta05481h2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.3374557312,2.7754125,13.4806815493,7.5637245746,8.9118402178,chunk_1
CAYQIE_clean,argon,293.0,0.1,14.0,CAYQIE_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.047645092699999995,0.1554375,1.9033261634,1.0679159524,0.7433537188,chunk_1
CAYQOK_clean,argon,293.0,0.1,14.0,CAYQOK_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.047962590599999994,0.2945125,1.9160095694,1.0750323425,0.7240313893000001,chunk_1
c5ta09507g_c5ta09507g2_clean,argon,293.0,0.1,14.0,c5ta09507g_c5ta09507g2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.20273273960000002,4.5856,8.098767479600001,4.5440467075,5.4423387338,chunk_1
c6ce00465b_c6ce00465b2_clean,argon,293.0,0.1,14.0,c6ce00465b_c6ce00465b2_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.07460919769999999,0.1219833333,2.9804882292,1.6722887475,1.2456535507,chunk_1
CACNOM_clean,argon,293.0,0.1,14.0,CACNOM_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.06853346240000001,0.21125,2.7377747561000003,1.5361073641999998,2.2538909552,chunk_1
