train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.15,0.15,2026,0.9704418893294817,0.02486002601672483,0.0028449518321834195,4.757371406403551
0.15,0.15,2027,0.9709719582444847,0.025114274445729345,0.002775397134226938,4.973257183652628
0.15,0.15,2028,0.9756841469031389,0.02445829355044646,0.002360034458827152,4.647283177826401
0.15,0.15,2029,0.9699981676749974,0.02511914117882152,0.0028989232252813785,4.739739368472345
0.2,0.0,2025,0.9051113210851852,0.030626474658805032,0.016101199535733596,4.761462199102746
0.2,0.0,2026,0.909623404768102,0.03188647102018555,0.015363555527303487,5.1948025745187305
0.2,0.0,2027,0.9077378260161935,0.031300677442522656,0.015675470660683113,4.7412166816212205
0.2,0.0,2028,0.9096848513237799,0.030991945328974247,0.015317028691930575,5.05406819068819
0.2,0.0,2029,0.923434051831638,0.028933986567092018,0.012765148772364178,5.06417700346701
0.2,0.1,2025,0.9704865533166207,0.02397010321144657,0.003372845909450824,4.432591684997437
0.2,0.1,2026,0.9648368763578803,0.024365999577781645,0.0041333217215568305,4.589472275077899
0.2,0.1,2027,0.9736165056417204,0.024152381919223198,0.003020553525513918,4.432104777171524
0.2,0.1,2028,0.9685157766919685,0.02390955096757992,0.0036249231910482887,4.273489220213368
0.2,0.1,2029,0.9619386842627189,0.024841017697361148,0.004627868685998217,4.4696582762620185
0.2,0.2,2025,0.9799039877945837,0.021821599485604897,0.001651825282771063,4.190685318844445
0.2,0.2,2026,0.9815770689312161,0.02166906454103655,0.0014690948855448584,4.106292405655996
0.2,0.2,2027,0.9804790293789803,0.022439888759753498,0.0015763848388220425,4.36342167753595
0.2,0.2,2028,0.9782050225354486,0.02251431435016912,0.0017802697944981818,4.196328245186438
0.2,0.2,2029,0.9769879431619392,0.02235082108205242,0.0018315585715574742,4.243830340104412
0.25,0.0,2025,0.91823425962517,0.028969409413016067,0.013804997976512336,4.470073598577658
0.25,0.0,2026,0.9362474992795717,0.030390169845300612,0.010707441957356739,5.176612295450845
0.25,0.0,2027,0.9161941602310705,0.029021838005541124,0.013758608183001415,4.555534987024293
0.25,0.0,2028,0.9250800158317555,0.029200696672471625,0.012328812912298577,4.670427373155828
0.25,0.0,2029,0.9528619889595634,0.027279189712163573,0.0076542811213632924,4.720460929110013
