train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.3,0.15,2027,0.9564290860896633,0.17922760007927308,0.07800793428027938,6.10748537024564
0.3,0.15,2028,0.9615059557163396,0.17865654355861896,0.06867811075286745,6.020908544838509
0.3,0.15,2029,0.9553943207704905,0.1807421012768801,0.0799951156371265,6.137106673359156
0.3,0.3,2025,0.9586262868819638,0.18070030422536407,0.06851874872864738,6.013704420584695
0.3,0.3,2026,0.9605153102588582,0.17929270779325576,0.06483344553387344,5.988438107418438
0.3,0.3,2027,0.9543062776017444,0.18198677033004876,0.07653288127311333,6.02131404033171
0.3,0.3,2028,0.9549895664728052,0.18148838010872717,0.07447336252118625,6.009246952892767
0.3,0.3,2029,0.9539974101082873,0.18102495507737165,0.07773431197567425,6.021215292767868
0.35,0.0,2025,0.9567134131148207,0.1811658014504833,0.08207526401541526,6.3744376575060375
0.35,0.0,2026,0.9563329822929331,0.18134046546898686,0.08119627441988309,6.38095238720642
0.35,0.0,2027,0.9616187913379682,0.1796109611960042,0.07243776211246583,6.468671965582152
0.35,0.0,2028,0.9587595796584897,0.17951413114911038,0.07953334310112452,6.471976294310958
0.35,0.0,2029,0.9632324494412366,0.17659493307956972,0.0693691894866417,6.342567836630413
0.35,0.17,2025,0.9632308410466139,0.17644438043564095,0.06510822497863097,6.092497522936425
0.35,0.17,2026,0.9612223147450445,0.17627907185616357,0.06716471402775183,6.009322785085196
0.35,0.17,2027,0.9596483814283034,0.17345562210070237,0.07155995561443595,5.826458291735117
0.35,0.17,2028,0.9632928765315744,0.1723917824426148,0.06419843059920376,5.902691877003244
0.35,0.17,2029,0.9558433531078341,0.1782599010134756,0.07677357646852136,5.9548727100772805
0.35,0.35,2025,0.9537843764942301,0.17900037712474767,0.07461535882745632,5.916839587360849
0.35,0.35,2026,0.9569765689351796,0.17802725788138551,0.06942147361343746,5.900540742060559
0.35,0.35,2027,0.9557811552049904,0.1782852263116489,0.07121312511828791,5.895983174702473
0.35,0.35,2028,0.9553463118292976,0.1753069596719507,0.07351369516339241,5.776503707897949
0.35,0.35,2029,0.9515849692284164,0.18171940317513166,0.07920428396323145,5.993382256178373
0.4,0.0,2025,0.9602145421652026,0.17530570244946964,0.07552676833072405,6.15963202231626
0.4,0.0,2026,0.9549752837260961,0.18228589569952675,0.08749894706543056,6.461834889267032
0.4,0.0,2027,0.9593485711692373,0.17660897650103033,0.07843836216320117,6.246202152032622
0.4,0.0,2028,0.9574847163697164,0.17836870636405316,0.08116867416464627,6.371006343287395
0.4,0.0,2029,0.9576332127070906,0.17959317500554936,0.08018452282758329,6.387182190483835
0.4,0.2,2025,0.9585399960787219,0.17381774982795373,0.07293552909433353,5.884865022939553
0.4,0.2,2026,0.9580712214854362,0.1730715631982478,0.07368490212781177,5.7580935051826785
0.4,0.2,2027,0.9628845854334601,0.1731045077154957,0.06427308032122656,5.813382288425633
0.4,0.2,2028,0.9578087888219214,0.17559319615080934,0.07430256727481205,5.912344360456996
0.4,0.2,2029,0.9622759082274703,0.17378206540461855,0.06531927623166055,5.965161107197528
0.4,0.4,2025,0.9565553104370278,0.17684430399737028,0.06872330265917159,5.824393123112155
0.4,0.4,2026,0.9547656060380219,0.17371487277581818,0.0713424626985828,5.667849116390369
0.4,0.4,2027,0.9594175949664783,0.17688524572072617,0.0642142608335014,5.871685780940935
0.4,0.4,2028,0.9557939592121507,0.17397113931967675,0.07020476402064015,5.7014365487426515
0.4,0.4,2029,0.961451302958618,0.17172886515038707,0.06077290461361175,5.665259996996265
0.45,0.0,2025,0.9612936839285239,0.17258935056861782,0.07527417929820981,6.149692158674824
0.45,0.0,2026,0.9592603454696265,0.17419287217372614,0.07601546339607324,6.145792470216344
0.45,0.0,2027,0.9643588742272658,0.17356996140119366,0.0668227665380419,6.064174074312259
0.45,0.0,2028,0.9657879155434667,0.17022886933890982,0.06488418692469855,6.0883697597085
0.45,0.0,2029,0.9633455742258215,0.1747472151946047,0.06937243249112367,6.125515032909043
0.45,0.23,2025,0.9579820269006456,0.17352260112657333,0.07154204184912656,5.775791004260106
0.45,0.23,2026,0.9579338746970338,0.17322920527522856,0.07294064925347561,5.8067076256960535
0.45,0.23,2027,0.963816026345047,0.1706996179227784,0.06119661614240265,5.799961565435728
0.45,0.23,2028,0.9572705110339028,0.17172155573278625,0.07413753779427659,5.672294005016637
0.45,0.23,2029,0.9582790461686864,0.17133715036936073,0.07209600750011494,5.741858641801593
0.45,0.45,2025,0.9585496973823459,0.17653130033658007,0.06481503782907713,5.750606552429112
0.45,0.45,2026,0.9605195338912924,0.17108269642805757,0.060349894274825525,5.580453434427056
0.45,0.45,2027,0.9551833379168925,0.1736668102108333,0.07068978988213352,5.694746505659481
0.45,0.45,2028,0.9531541925619634,0.17771282461830648,0.07361327773535783,5.8561103043740115
0.45,0.45,2029,0.9526275143111768,0.17528378576684364,0.07453133129132743,5.605302868116888
0.5,0.0,2025,0.9674286376730937,0.16942476383787378,0.06185223795864318,6.124337014230175
