MOF,. time (s),source_chunk
FOQNUW01_clean_argon_313.0K_5.0bar_14.,206.9,chunk_1
FIWKUT_clean_argon_313.0K_5.0bar_14.,650.4,chunk_1
c6ce00407e_c6ce00407e8_clean_argon_313.0K_5.0bar_14.,150.3,chunk_1
OYOVOP_clean_argon_313.0K_5.0bar_14.,565.2,chunk_1
cm503311x_alf425K_clean_argon_313.0K_5.0bar_14.,153.9,chunk_1
COVPAG_clean_argon_313.0K_5.0bar_14.,298.8,chunk_1
CUQRUD_clean_argon_313.0K_5.0bar_14.,172.7,chunk_1
NUDLEF_clean_argon_313.0K_5.0bar_14.,665.9,chunk_1
GUPCEA_clean_argon_313.0K_5.0bar_14.,2544.9,chunk_1
EDUSOL_clean_argon_313.0K_5.0bar_14.,647.8,chunk_1
c6ce00141f_c6ce00141f2_clean_argon_313.0K_5.0bar_14.,521.9,chunk_1
DUQRUD_clean_argon_313.0K_5.0bar_14.,680.1,chunk_1
ARINUL_clean_argon_313.0K_5.0bar_14.,355.7,chunk_1
VUHNAP_clean_argon_313.0K_5.0bar_14.,275.5,chunk_1
DUNXUH01_clean_argon_313.0K_5.0bar_14.,211.4,chunk_1
cm501138g_si_010_clean_argon_313.0K_5.0bar_14.,159.7,chunk_1
EBELUU_clean_argon_313.0K_5.0bar_14.,221.3,chunk_1
COTVUE_clean_argon_313.0K_5.0bar_14.,201.7,chunk_1
KUKQAK_clean_argon_313.0K_5.0bar_14.,565.0,chunk_1
YABHIV_clean_argon_313.0K_5.0bar_14.,1590.3,chunk_1
DOTFOJ_clean_argon_313.0K_5.0bar_14.,944.0,chunk_1
AWIBEO_clean_argon_313.0K_5.0bar_14.,1247.8,chunk_1
OJOSIR_clean_argon_313.0K_5.0bar_14.,289.2,chunk_1
IFEQER_clean_argon_313.0K_5.0bar_14.,699.2,chunk_1
SURLEY_clean_argon_313.0K_5.0bar_14.,583.7,chunk_1
COCNEP_clean_argon_313.0K_5.0bar_14.,1176.7,chunk_1
SETSUH_clean_argon_313.0K_5.0bar_14.,318.5,chunk_1
DABMUR_clean_argon_313.0K_5.0bar_14.,166.4,chunk_1
CIYZUG_clean_argon_313.0K_5.0bar_14.,336.3,chunk_1
DEYJOI_clean_argon_313.0K_5.0bar_14.,225.9,chunk_1
XISDIO_clean_argon_313.0K_5.0bar_14.,413.5,chunk_1
ECUGEQ_clean_argon_313.0K_5.0bar_14.,164.0,chunk_1
BEXQUR_clean_argon_313.0K_5.0bar_14.,135.2,chunk_1
ETUWEW_clean_argon_313.0K_5.0bar_14.,148.2,chunk_1
COJMIZ_clean_argon_313.0K_5.0bar_14.,390.4,chunk_1
CEMYUQ_clean_argon_313.0K_5.0bar_14.,124.2,chunk_1
CURZAR_clean_argon_313.0K_5.0bar_14.,574.5,chunk_1
ja410368j_si_002_clean_argon_313.0K_5.0bar_14.,340.8,chunk_1
SITFUY_clean_argon_313.0K_5.0bar_14.,330.4,chunk_1
AKEDIF_clean_argon_313.0K_5.0bar_14.,222.8,chunk_1
OMUMEQ_clean_argon_313.0K_5.0bar_14.,1222.0,chunk_1
FEYZUF_clean_argon_313.0K_5.0bar_14.,391.1,chunk_1
BUVYIB_clean_argon_313.0K_5.0bar_14.,202.3,chunk_1
ETIXIQ_clean_argon_313.0K_5.0bar_14.,296.8,chunk_1
CUMDEU_clean_argon_313.0K_5.0bar_14.,190.1,chunk_1
ASACON_clean_argon_313.0K_5.0bar_14.,212.7,chunk_1
QAPPON_clean_argon_313.0K_5.0bar_14.,256.3,chunk_1
EFAYEQ_clean_h_argon_313.0K_5.0bar_14.,229.6,chunk_1
APAYOH_clean_argon_313.0K_5.0bar_14.,287.5,chunk_1
ZEZPIF_clean_argon_313.0K_5.0bar_14.,217.1,chunk_1
AZAVUU_clean_argon_313.0K_5.0bar_14.,214.7,chunk_1
FAVDEO_clean_argon_313.0K_5.0bar_14.,321.1,chunk_1
COQJOJ_clean_argon_313.0K_5.0bar_14.,338.0,chunk_1
BEPVOJ_clean_argon_313.0K_5.0bar_14.,269.1,chunk_1
BEXSAA_clean_argon_313.0K_5.0bar_14.,220.5,chunk_1
ABAYIO_clean_argon_313.0K_5.0bar_14.,732.7,chunk_1
EHAFOK_clean_argon_313.0K_5.0bar_14.,176.3,chunk_1
RAHPAT_clean_argon_313.0K_5.0bar_14.,3825.5,chunk_1
ESEVIH_clean_argon_313.0K_5.0bar_14.,206.3,chunk_1
KOVGOT_clean_argon_313.0K_5.0bar_14.,320.4,chunk_1
cg050585esi20051105_115011_clean_argon_313.0K_5.0bar_14.,293.0,chunk_1
CUFGIV_clean_argon_313.0K_5.0bar_14.,311.1,chunk_1
BIYVEM_clean_argon_313.0K_5.0bar_14.,162.1,chunk_1
BOZFON_clean_argon_313.0K_5.0bar_14.,424.4,chunk_1
ASEKAM_clean_argon_313.0K_5.0bar_14.,240.8,chunk_1
DUPVER_clean_argon_313.0K_5.0bar_14.,190.6,chunk_1
DEBWAK_clean_argon_313.0K_5.0bar_14.,360.9,chunk_1
EVOTIT_SL_argon_313.0K_5.0bar_14.,1015.9,chunk_1
AYOXUJ_clean_argon_313.0K_5.0bar_14.,409.4,chunk_1
VUHNUJ_clean_argon_313.0K_5.0bar_14.,281.3,chunk_1
XANZAQ08_clean_argon_313.0K_5.0bar_14.,193.8,chunk_1
DAWWEF_clean_argon_313.0K_5.0bar_14.,287.2,chunk_1
CUQKOQ_clean_argon_313.0K_5.0bar_14.,175.3,chunk_1
DEWQUS_clean_argon_313.0K_5.0bar_14.,389.8,chunk_1
acs.inorgchem.6b00081_ic6b00081_si_001_clean_argon_313.0K_5.0bar_14.,646.3,chunk_1
SERWET_clean_argon_313.0K_5.0bar_14.,344.5,chunk_1
cm503311x_OH-mil-53-Al-lp-ortho_clean_argon_313.0K_5.0bar_14.,244.6,chunk_1
XUDPOD_clean_argon_313.0K_5.0bar_14.,535.4,chunk_1
LIDSIC_clean_argon_313.0K_5.0bar_14.,299.2,chunk_1
LAPNAU_clean_argon_313.0K_5.0bar_14.,687.1,chunk_1
COQJUP_clean_argon_313.0K_5.0bar_14.,374.0,chunk_1
UMOYOM15_clean_argon_313.0K_5.0bar_14.,323.8,chunk_1
cm503311x_alf300K_clean_argon_313.0K_5.0bar_14.,154.1,chunk_1
IYUHOB_clean_argon_313.0K_5.0bar_14.,240.7,chunk_1
DALTAO_clean_argon_313.0K_5.0bar_14.,203.0,chunk_1
ZOXNAD_clean_argon_313.0K_5.0bar_14.,328.0,chunk_1
cm503311x_alf350K_clean_argon_313.0K_5.0bar_14.,154.5,chunk_1
CEZFIY_clean_argon_313.0K_5.0bar_14.,501.1,chunk_1
AVAKEP_clean_argon_313.0K_5.0bar_14.,232.3,chunk_1
COXHON_clean_argon_313.0K_5.0bar_14.,85.3,chunk_1
CIJVOH01_clean_argon_313.0K_5.0bar_14.,145.1,chunk_1
EBATUZ_clean_argon_313.0K_5.0bar_14.,243.2,chunk_1
ENAFAB_clean_argon_313.0K_5.0bar_14.,738.6,chunk_1
BEPROF_clean_argon_313.0K_5.0bar_14.,238.9,chunk_1
DORYUG_clean_argon_313.0K_5.0bar_14.,448.4,chunk_1
DOLXOR01_clean_argon_313.0K_5.0bar_14.,76.4,chunk_1
APAZEY_clean_argon_313.0K_5.0bar_14.,266.1,chunk_1
CUMDOE_clean_argon_313.0K_5.0bar_14.,236.5,chunk_1
AQUDIB_clean_argon_313.0K_5.0bar_14.,301.7,chunk_1
AWIBAK_clean_argon_313.0K_5.0bar_14.,1194.3,chunk_1
DABFIX_clean_argon_313.0K_5.0bar_14.,1023.9,chunk_1
EKEQIV_clean_argon_313.0K_5.0bar_14.,314.6,chunk_1
HONXAL_clean_argon_313.0K_5.0bar_14.,611.5,chunk_1
ALANAD_clean_argon_313.0K_5.0bar_14.,221.7,chunk_1
VOQXIK_clean_argon_313.0K_5.0bar_14.,186.8,chunk_1
CIFJAE_clean_argon_313.0K_5.0bar_14.,183.1,chunk_1
SETTAO_clean_argon_313.0K_5.0bar_14.,237.5,chunk_1
ic5005374_si_003_clean_argon_313.0K_5.0bar_14.,642.8,chunk_1
CUVHEH_clean_argon_313.0K_5.0bar_14.,156.7,chunk_1
QOGGID_clean_argon_313.0K_5.0bar_14.,229.2,chunk_1
ASINIB_clean_argon_313.0K_5.0bar_14.,2723.6,chunk_1
AFOTOF_clean_argon_313.0K_5.0bar_14.,187.2,chunk_1
ASECUY_clean_argon_313.0K_5.0bar_14.,419.3,chunk_1
BINROH_clean_argon_313.0K_5.0bar_14.,476.7,chunk_1
FUVDEH04_clean_argon_313.0K_5.0bar_14.,742.0,chunk_1
DADPAC_clean_argon_313.0K_5.0bar_14.,176.4,chunk_1
LAWHEZ_clean_argon_313.0K_5.0bar_14.,346.3,chunk_1
WAGQAY_clean_argon_313.0K_5.0bar_14.,508.1,chunk_1
EQAMUG_clean_argon_313.0K_5.0bar_14.,379.1,chunk_1
OCIMOF_clean_argon_313.0K_5.0bar_14.,258.7,chunk_1
CAYQUQ_clean_argon_313.0K_5.0bar_14.,229.5,chunk_1
ETEXEI01_clean_argon_313.0K_5.0bar_14.,171.0,chunk_1
c5sc03494a_c5sc03494a2_clean_argon_313.0K_5.0bar_14.,253.7,chunk_1
AFOYAW_clean_argon_313.0K_5.0bar_14.,309.2,chunk_1
FEWWEL_clean_argon_313.0K_5.0bar_14.,535.4,chunk_1
KOMJAZ_clean_argon_313.0K_5.0bar_14.,400.8,chunk_1
XANMUX08_clean_argon_313.0K_5.0bar_14.,196.2,chunk_1
