name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
WUPZUE_clean,argon,273.0,5.0,14.0,WUPZUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.02555e-05,chunk_1
HEDBOJ_clean,argon,273.0,5.0,14.0,HEDBOJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.39375e-06,chunk_1
VIWHUG_clean,argon,273.0,5.0,14.0,VIWHUG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.71594e-06,chunk_1
IZIGUV_clean,argon,273.0,5.0,14.0,IZIGUV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.06309e-06,chunk_1
UDAMET_clean,argon,273.0,5.0,14.0,UDAMET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.49766e-07,chunk_1
FECKAA_clean,argon,273.0,5.0,14.0,FECKAA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.09852e-05,chunk_1
LOTDIJ_clean,argon,273.0,5.0,14.0,LOTDIJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.11658e-05,chunk_1
BIZMEE_clean,argon,273.0,5.0,14.0,BIZMEE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.58803e-06,chunk_1
KEJBOQ_clean_h,argon,273.0,5.0,14.0,KEJBOQ_clean_h_argon_273.0K_5.0bar_14.0/Output/System_0,1.76451e-05,chunk_1
EDUVEE_clean,argon,273.0,5.0,14.0,EDUVEE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.14871e-05,chunk_1
SADVEB_clean,argon,273.0,5.0,14.0,SADVEB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.71581e-06,chunk_1
ALEQIT_clean,argon,273.0,5.0,14.0,ALEQIT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.30591e-06,chunk_1
HABDAS_clean,argon,273.0,5.0,14.0,HABDAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.00535e-06,chunk_1
ULOKOX_clean,argon,273.0,5.0,14.0,ULOKOX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.47627e-06,chunk_1
