filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,HENRY,0.01,0.05,0.1,0.5,1,5,15
c5ce02503f_c5ce02503f2_clean,13.50319,5.63614,13.50319,1.78413,1087.4,609.485,289.45,162.236,0.5546,0.310852,0.0,1,0.000363423,0.2868531959,0.8355960926999999,1.1642343389,2.0878955225,2.5216202475,3.7544266066,4.8339043375
c5dt01100k_c5dt01100k2_clean,10.14478,9.16125,10.14478,1.64843,1361.9,826.183,0.0,0.0,0.588,0.356703,0.0,1,1.09336e-06,0.0010694716,0.0053882039,0.0108155278,0.0548255213,0.1090953087,0.5149635231,1.4490339268
c5dt03038b_c5dt03038b2_clean,6.32747,4.74814,6.26915,1.49819,1746.54,1165.77,0.0,0.0,0.584,0.389803,0.0,1,6.5923e-06,0.0066544533,0.033139552,0.0654672046,0.311831865,0.5937905121,2.2155363597,4.1265323365
c5dt04943a_c5dt04943a2_clean,11.21193,6.39957,11.21193,0.759207,2393.65,3152.83,0.0,0.0,0.7392,0.973647,0.0,1,5.16197e-06,0.0051434202,0.0261773519,0.0513487949,0.2487085668,0.4929237583,2.0647605722,5.1887691584
c5dt05023e_c5dt05023e2_clean,6.45831,4.45817,6.45831,1.05764,1467.29,1387.32,0.0,0.0,0.552,0.521916,0.0,1,8.51083e-06,0.0084530356,0.0419381651,0.0818830307,0.3711792998,0.6683156608,2.0784180596,3.7023687837
c5qi00128e_c5qi00128e2_clean,6.58115,3.73125,6.58115,0.993282,1853.01,1865.55,0.0,0.0,0.582,0.585936,0.0,0,1.11051e-05,0.0111887005,0.0560609413999999,0.1103963353,0.5327924679,1.0104154606,3.9958380815,7.0399253121
c5sc00614g_c5sc00614g2_clean,12.67478,4.17297,12.67478,1.23591,1899.73,1537.11,0.0,0.0,0.6104,0.493887,0.000647296,0,1.90685e-05,0.0192118072,0.0935714698,0.187133601,0.8190559076,1.5089241437,4.4867904402,6.9171155634
c5ta03835a_c5ta03835a2_clean,12.36152,9.64623,12.36152,0.670312,1969.74,2938.54,0.0,0.0,0.7304,1.08964,0.0,0,3.48138e-06,0.0034856186,0.0171875869,0.0347221896,0.1709791255,0.3394157594,1.5552936597,4.1336807927
c6cc00589f_c6cc00589f2_clean,11.05462,4.21804,11.05462,0.944025,1733.14,1835.91,0.0,0.0,0.6684,0.708032,0.0,1,2.45932e-06,0.0024616767,0.0122623505,0.0247439064,0.1229216242,0.2433026578,1.1428230070999998,3.0901671242
c6cc00589f_c6cc00589f3_clean,8.87015,7.61141,8.84647,0.61411,2422.25,3944.33,0.0,0.0,0.804,1.30921,0.0,0,1.79351e-06,0.0016857054,0.0091192552,0.0180164907,0.0903085846,0.1814312416,0.8831534073999999,2.5571493486000003
c6cc01597b_c6cc01597b2_clean,5.3252,4.32379,5.3252,1.51358,1134.66,749.654,0.0,0.0,0.4966,0.328096,0.0,1,2.40019e-05,0.0242515289,0.1167600593,0.2239583607999999,0.8479895419,1.3566571814,2.8915690854,3.9669532199
c6ce00465b_c6ce00465b2_clean,7.48534,6.6993,7.48534,0.744889,2472.69,3319.54,0.0,0.0,0.7082,0.950746,0.0,0,7.46839e-06,0.0075638782,0.0369155314,0.0746091976999999,0.3683941693999999,0.7338524938,3.3299922889,8.03939335
c6ta07145g_c6ta07145g2_clean,6.02059,3.60964,6.01517,1.26554,923.516,729.74,0.0,0.0,0.497,0.392717,0.0,0,4.32281e-06,0.0043311757,0.0214359608,0.0425727827,0.2029650793,0.3722516866,1.3383725874,2.4215093832
CACNOM_clean,5.51942,4.46179,5.51261,1.46727,1607.54,1095.6,0.0,0.0,0.5204,0.354673,0.0,0,6.96748e-06,0.0070236661,0.0351534758,0.0685334624,0.3338809707,0.6180745053,2.2884580219,3.9690039562
CASWIE_clean,9.90767,8.8856,9.90767,1.25703,2053.39,1633.52,0.0,0.0,0.7078,0.563072,0.0,0,9.03943e-06,0.0091407482,0.0439842463,0.0895227186999999,0.4082375222,0.7298621041,2.4758540091,4.8136473818
CAVMIX_clean,8.93942,5.67971,8.86574,0.942961,1589.69,1685.85,0.0,0.0,0.62,0.657503,0.0,1,5.63924e-06,0.0056381233,0.0283633604,0.0559907453,0.2731644623,0.5078201357,2.0225039998,4.1551735035
